;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
259;171912;66333;1356;5831;4558;2459;2043;1196
260;2260501;96435;47817;35455;29155;13018;5684;22526
261;2260501;96435;47817;35455;29155;13018;5684;22526
262;248641;27492;2931;3019;2389;3333;2044;3316
263;212660;27356;5249;3692;2496;2733;1436;10453
264;1112800;20252;10967;24273;3281;6049;3615;25814
265;43748;39399;1421;2969;1001;1477;784;6285
266;52646;18124;7550;3351;1018;1280;1196;4570
267;901320;518894;10018;10469;35347;26677;20067;46637
268;901320;518894;10018;10469;35347;26677;20067;46637
269;489937;108387;22602;12887;29185;20277;8167;27381
270;443837;263547;18018;7802;9212;10227;2009;19288
271;973373;395163;133640;34817;21947;18341;12650;66364
272;2223436;250619;9738;23458;16706;6828;6152;35040
273;1511469;84797;31941;15060;12910;19026;3519;35710
274;1143500;312583;7818;3393;20500;6333;2796;15634
275;986882;125180;29122;5715;17103;8743;5285;7474
276;31343;16382;2776;619;815;726;273;1008
277;477743;171675;3681;29630;6981;21832;7608;33249
278;286256;731040;263366;13495;72891;108196;27354;63592
279;120700;59753;7286;2907;3593;5790;2026;4652
280;831348;65173;4712;33738;22483;25235;11359;36669
281;1700028;44774;14267;29543;7513;10483;2878;11930
282;2018283;40899;16734;23407;11658;8223;6489;9659
283;582682;217992;16124;39266;12092;21768;6474;19216
284;1595710;343422;96828;27081;162808;30428;19530;64076
285;489746;208882;39170;35290;29228;14253;2637;17347
286;358757;60381;3707;6584;3011;4103;3248;3319
287;301155;236195;3526;55054;4670;25502;5778;10295
288;301155;236195;3526;55054;4670;25502;5778;10295
289;747464;228396;41832;55766;49777;20740;10272;24596
290;261770;30096;12056;8405;3232;3246;2992;5499
291;1493155;171114;7825;6278;20844;13946;6955;24251
292;149345;72838;5216;5301;2628;4239;646;12201
293;142179;103201;14677;18659;2404;13970;8751;59917
294;83907;39712;3233;2424;2833;1893;1582;13074
295;83907;39712;3233;2424;2833;1893;1582;13074
296;679022;367581;27391;16920;10445;14626;4590;55301
297;628262;447875;19777;12509;22188;15590;4892;49043
298;1450184;1006472;197841;58264;44447;35401;27217;180526
299;1257384;517660;56521;9411;13548;18241;6045;55979
300;1952129;334467;47490;25954;17427;25141;17001;52760
301;436058;296285;105713;50776;46526;13935;12746;22899
302;610500;188648;17760;62912;50923;14426;10438;12710
303;1089276;303333;25017;26542;18444;14631;10422;13078
304;1591081;82676;52006;14340;16312;17321;7214;2278
305;3067081;290849;77353;108801;137067;128280;99080;60268
306;449837;67494;873;5421;2398;5207;4434;2738
307;325203;62217;9824;1570;887;9222;2436;2343
308;855793;151499;20750;21194;12719;13218;6291;6747
309;735724;83056;28386;44729;16659;24614;10713;5170
310;409952;26805;6821;4391;4336;2591;1576;1028
311;2237438;157095;137706;29221;64561;32144;20348;15320
312;569756;151675;19562;22201;24092;9804;4533;13497
313;1082237;106132;6434;8838;3564;13156;11687;33159
314;1188316;341872;14907;31491;5811;5922;8970;59186
315;197818;15217;2499;5826;3615;2442;1713;4070
316;168946;6171;1231;6713;3290;1809;541;1947
317;1260036;700450;162561;75551;94007;58859;35018;51586
318;43049;17727;3578;2487;1210;3310;2046;6674
319;444705;82895;5817;7599;4335;6011;4027;4726
320;1846366;164002;7331;10059;7890;9275;5493;7598
321;543934;245877;58336;21619;22164;11667;8068;35911
322;562958;128580;133914;8542;13086;11243;5464;8904
323;62880;33021;10050;11839;2268;3919;2103;12765
324;788225;19443;1017;4781;3827;5218;1102;568
